,src,output
7222,0.33995578,0.3408
7223,0.38702866,0.3381
7224,0.31529704,0.3438
7225,0.33290294,0.3586
7226,0.3342367,0.3865
7227,0.40410388,0.4158
7228,0.4533748,0.456
7229,0.4828886,0.4978
7230,0.51124984,0.5303
7231,0.5299183,0.5503
7232,0.51765674,0.5415
7233,0.49464366,0.524
7234,0.4683942,0.4995
7235,0.43805513,0.4517
7236,0.36318448,0.3855
7237,0.32600877,0.325
7238,0.29918677,0.281
7239,0.27048963,0.2496
7240,0.26233485,0.2261
7241,0.22902748,0.2122
7242,0.2239503,0.2156
7243,0.25799292,0.2417
7244,0.26490983,0.2798
7245,0.29368243,0.3054
7246,0.36868522,0.3347
7247,0.41128752,0.345
7248,0.30742225,0.3188
7249,0.28984553,0.2927
7250,0.25649977,0.265
7251,0.22829652,0.2256
7252,0.19696036,0.1898
7253,0.17632398,0.1667
7254,0.1650546,0.1476
7255,0.14894523,0.1423
7256,0.1407955,0.1415
7257,0.15980572,0.1481
7258,0.19549678,0.1903
7259,0.24538767,0.2408
7260,0.27016246,0.255
7261,0.2544847,0.2308
7262,0.23546347,0.2069
7263,0.21013048,0.1781
7264,0.18700965,0.1593
7265,0.18274522,0.1511
7266,0.18435098,0.155
7267,0.19528028,0.1672
7268,0.19951117,0.1898
7269,0.24622943,0.2164
7270,0.28850123,0.2761
7271,0.3307951,0.3228
7272,0.31919396,0.3142
7273,0.29226413,0.2922
7274,0.27215528,0.2666
7275,0.23548706,0.2286
7276,0.20502593,0.1934
7277,0.17752561,0.1711
7278,0.15721108,0.1545
7279,0.14131643,0.1481
7280,0.13318545,0.1489
7281,0.151977,0.1611
7282,0.18601362,0.199
7283,0.23201534,0.2478
7284,0.25958362,0.261
7285,0.24152997,0.2491
7286,0.21258882,0.21
7287,0.20100877,0.182
7288,0.18990445,0.1624
7289,0.17724095,0.1462
7290,0.16940111,0.1462
7291,0.19532347,0.1615
7292,0.20193158,0.1859
7293,0.22470501,0.2095
7294,0.25571436,0.2627
7295,0.3244904,0.3098
7296,0.116623014,0.1354
7297,0.13521653,0.1354
7298,0.15543225,0.1467
7299,0.16966337,0.1646
7300,0.18379715,0.1816
7301,0.17965731,0.1969
7302,0.17769624,0.1956
7303,0.17531171,0.1833
7304,0.16489945,0.1654
7305,0.16460472,0.1545
7306,0.14075933,0.1393
7307,0.18613707,0.1359
7308,0.18944307,0.1445
7309,0.20828989,0.1598
7310,0.24578758,0.185
7311,0.27768582,0.2239
7312,0.3037834,0.2634
7313,0.32162663,0.2783
7314,0.28012785,0.2605
7315,0.25821328,0.2278
7316,0.19631433,0.1964
7317,0.1608411,0.1642
7318,0.14164487,0.1401
7319,0.13262734,0.1223
7320,0.110070944,0.11444
7321,0.11196405,0.12317
7322,0.12494053,0.1315
7323,0.12749146,0.1367
7324,0.13506413,0.1359
7325,0.118574485,0.1318
7326,0.1321448,0.11707
7327,0.12639724,0.1014
7328,0.124582395,0.08875
7329,0.11549887,0.073
7330,0.12046024,0.06433
7331,0.15861106,0.06647
7332,0.1698839,0.08435
7333,0.18096545,0.1118
7334,0.22707736,0.1467
7335,0.27593917,0.185
7336,0.29838488,0.2317
7337,0.3085414,0.2617
7338,0.2817343,0.2448
7339,0.23534846,0.2051
7340,0.1860403,0.1729
7341,0.15441425,0.145
7342,0.152167,0.1236
7343,0.1293124,0.1096
7344,0.39260218,0.4053
7345,0.47279486,0.4648
7346,0.53729045,0.5415
7347,0.59055716,0.6167
7348,0.64815986,0.6826
7349,0.69345105,0.736
7350,0.710501,0.763
7351,0.67041975,0.763
7352,0.6319269,0.722
7353,0.62889487,0.6836
7354,0.54897815,0.6104
7355,0.47304803,0.537
7356,0.3977601,0.4587
7357,0.32124603,0.382
7358,0.27305454,0.3293
7359,0.24031764,0.285
7360,0.21327743,0.254
7361,0.20453677,0.2356
7362,0.19567057,0.2347
7363,0.2283857,0.256
7364,0.25195715,0.297
7365,0.2987261,0.3264
7366,0.32520056,0.355
7367,0.3224742,0.3882
7368,0.390662,0.4314
7369,0.48060015,0.4849
7370,0.5323917,0.559
7371,0.58893675,0.639
7372,0.632992,0.707
7373,0.6606572,0.7524
7374,0.6781108,0.7725
7375,0.6705096,0.761
7376,0.62009996,0.715
7377,0.5819785,0.674
7378,0.5202437,0.6045
7379,0.44816864,0.5337
7380,0.3858237,0.4534
7381,0.31657133,0.3792
7382,0.265963,0.3237
7383,0.23197326,0.2793
7384,0.2132529,0.2483
7385,0.20547326,0.2295
7386,0.20438142,0.2286
7387,0.22375506,0.251
7388,0.27097172,0.29
7389,0.28216365,0.3198
7390,0.30646086,0.3508
7391,0.31804207,0.382
7392,0.14633115,0.1532
7393,0.12140156,0.1315
7394,0.114368424,0.1179
7395,0.11529945,0.11707
7396,0.121800035,0.1298
7397,0.14103524,0.1598
7398,0.18943924,0.2
7399,0.2145043,0.2164
7400,0.2330887,0.2117
7401,0.23096047,0.1837
7402,0.21251327,0.1581
7403,0.20024244,0.1528
7404,0.20211191,0.1493
7405,0.19443454,0.1501
7406,0.19363984,0.1506
7407,0.19127128,0.1672
7408,0.19154194,0.1881
7409,0.2135087,0.2108
7410,0.23134492,0.2427
7411,0.26865184,0.2715
7412,0.2764846,0.2727
7413,0.26553166,0.25
7414,0.21202537,0.2095
7415,0.16930902,0.1694
7416,0.15719068,0.1423
7417,0.13221799,0.1267
7418,0.13404638,0.1157
7419,0.12546338,0.1101
7420,0.13876505,0.121
7421,0.16063954,0.1506
7422,0.20994341,0.1898
7423,0.21283095,0.2142
7424,0.24044058,0.2161
7425,0.21262555,0.2051
7426,0.19447288,0.189
7427,0.186165,0.1781
7428,0.17152572,0.1725
7429,0.14706236,0.1523
7430,0.14678714,0.1462
7431,0.14344609,0.1437
7432,0.16549103,0.1593
7433,0.19081959,0.1934
7434,0.23358366,0.2283
7435,0.26276577,0.267
7436,0.28825012,0.2722
7437,0.24504817,0.2452
7438,0.21506724,0.21
7439,0.17158347,0.1685
7440,0.13056664,0.11487
7441,0.11809085,0.104
7442,0.115238085,0.10095
7443,0.13233106,0.1157
7444,0.17390579,0.155
7445,0.2439735,0.213
7446,0.27181435,0.2413
7447,0.2737763,0.2483
7448,0.26509383,0.243
7449,0.24607626,0.2461
7450,0.23813157,0.251
7451,0.22874436,0.2654
7452,0.23080507,0.2805
7453,0.23289594,0.2983
7454,0.24356341,0.301
7455,0.2623043,0.3127
7456,0.29815504,0.3315
7457,0.32308877,0.3389
7458,0.3538172,0.361
7459,0.34949514,0.3599
7460,0.29791513,0.322
7461,0.24132288,0.2632
7462,0.2014401,0.2086
7463,0.17546746,0.1742
7464,0.14877197,0.1489
7465,0.14036706,0.1323
7466,0.13718295,0.1249
7467,0.16478962,0.1367
7468,0.20422116,0.1715
7469,0.24840589,0.223
7470,0.27182403,0.2413
7471,0.28083038,0.2295
7472,0.2720583,0.2244
7473,0.2593082,0.2081
7474,0.22769058,0.1981
7475,0.20349118,0.1917
7476,0.20444559,0.1951
7477,0.2112891,0.1969
7478,0.21929748,0.2064
7479,0.2355516,0.2208
7480,0.25881952,0.2478
7481,0.29046908,0.2632
7482,0.33485517,0.306
7483,0.34655353,0.3193
7484,0.2863888,0.2905
7485,0.25355977,0.2356
7486,0.21971598,0.1873
7487,0.18337908,0.1532
7488,0.13606533,0.1484
7489,0.15244403,0.1694
7490,0.18249007,0.1873
7491,0.20372891,0.1981
7492,0.21289864,0.2
7493,0.21138875,0.1895
7494,0.20500793,0.1725
7495,0.20969924,0.1523
7496,0.22006893,0.1581
7497,0.24648932,0.1715
7498,0.2634185,0.1912
7499,0.27631572,0.2051
7500,0.31367084,0.2339
7501,0.33915374,0.285
7502,0.33553433,0.3123
7503,0.38261065,0.318
7504,0.3663706,0.3267
7505,0.34224364,0.3
7506,0.29461005,0.2632
7507,0.25274226,0.2213
7508,0.21045169,0.1873
7509,0.17669022,0.1611
7510,0.14114878,0.1454
7511,0.1478843,0.1349
7512,0.12248753,0.1315
7513,0.1293474,0.1384
7514,0.13209993,0.1337
7515,0.13112046,0.1236
7516,0.14229211,0.11487
7517,0.15538552,0.10614
7518,0.15024683,0.10266
7519,0.15844083,0.10266
7520,0.15801246,0.1096
7521,0.18943071,0.121
7522,0.19757149,0.1345
7523,0.22802159,0.1637
7524,0.2786909,0.203
7525,0.30912927,0.2452
7526,0.3171571,0.277
7527,0.35657802,0.2878
7528,0.35567287,0.2961
7529,0.31389233,0.2656
7530,0.271391,0.2335
7531,0.2266763,0.1956
7532,0.1919195,0.1681
7533,0.15565677,0.1445
7534,0.14608821,0.1293
7535,0.13423994,0.11835
7536,0.22867161,0.2676
7537,0.22101745,0.2517
7538,0.21947601,0.2291
7539,0.19691408,0.223
7540,0.19614388,0.2152
7541,0.20922922,0.2225
7542,0.21680528,0.2405
7543,0.23682523,0.2527
7544,0.28473064,0.2756
7545,0.3234788,0.3167
7546,0.3270717,0.3164
7547,0.2816368,0.286
7548,0.23067492,0.2356
7549,0.19161852,0.1868
7550,0.15831995,0.1537
7551,0.13685557,0.1276
7552,0.12408064,0.1162
7553,0.12167755,0.1153
7554,0.14333403,0.1276
7555,0.17312266,0.1646
7556,0.22349855,0.2234
7557,0.26518232,0.2505
7558,0.25506786,0.2512
7559,0.22986597,0.265
7560,0.21363017,0.2761
7561,0.20116809,0.2756
7562,0.19470361,0.2593
7563,0.19634199,0.25
7564,0.19408295,0.2313
7565,0.19998276,0.22
7566,0.19467163,0.2195
7567,0.23622307,0.2325
7568,0.26006505,0.2556
7569,0.29724133,0.2932
7570,0.3041115,0.2976
7571,0.2743059,0.2727
7572,0.22495784,0.2313
7573,0.19701415,0.189
7574,0.1637246,0.1581
7575,0.13956869,0.134
7576,0.12995812,0.11707
7577,0.12696478,0.1092
7578,0.12196483,0.1114
7579,0.11696668,0.1254
