,Time,Temp(f),Humidity,Wind Speed,Condition
0,2016-01-01 04:00:00,45.0,0.68,13.0,3.0
35,2016-01-02 15:00:00,46.0,0.63,0.0,3.0
36,2016-01-02 16:00:00,46.0,0.68,0.0,3.0
37,2016-01-02 17:00:00,44.0,0.85,0.0,3.0
38,2016-01-02 18:00:00,44.0,0.89,0.0,3.0
39,2016-01-02 19:00:00,43.0,0.93,0.0,3.0
40,2016-01-02 20:00:00,43.0,0.97,0.0,3.0
41,2016-01-02 21:00:00,43.0,0.93,0.0,3.0
42,2016-01-02 22:00:00,43.0,0.97,0.0,3.0
43,2016-01-02 23:00:00,42.0,0.96,3.0,3.0
44,2016-01-03 00:00:00,42.0,0.92,3.0,3.0
114,2016-01-05 22:00:00,49.0,0.69,6.0,3.0
117,2016-01-06 01:00:00,47.0,0.86,5.0,1.0
119,2016-01-06 03:00:00,47.0,0.86,5.0,1.0
120,2016-01-06 04:00:00,46.0,0.875,5.0,1.0
121,2016-01-06 05:00:00,46.0,0.89,0.0,1.0
128,2016-01-06 12:00:00,49.0,0.86,5.0,1.0
129,2016-01-06 13:00:00,50.0,0.86,5.0,1.0
130,2016-01-06 14:00:00,51.0,0.86,3.0,1.0
131,2016-01-06 15:00:00,51.0,0.91,3.6666666666666665,1.0
132,2016-01-06 16:00:00,51.5,0.925,0.0,1.0
133,2016-01-06 17:00:00,52.0,0.95,1.5,1.0
134,2016-01-06 18:00:00,52.4,0.966,0.6,1.0
135,2016-01-06 19:00:00,51.5,0.965,0.0,1.0
136,2016-01-06 20:00:00,52.0,0.97,3.0,1.0
137,2016-01-06 21:00:00,52.0,0.97,0.0,1.0
138,2016-01-06 22:00:00,52.0,0.97,0.0,1.0
139,2016-01-06 23:00:00,52.0,0.97,0.0,1.0
140,2016-01-07 00:00:00,52.0,0.97,0.0,1.0
141,2016-01-07 01:00:00,52.0,0.97,3.0,1.0
142,2016-01-07 02:00:00,52.0,0.93,0.0,1.0
143,2016-01-07 03:00:00,51.0,0.96,0.0,1.0
144,2016-01-07 04:00:00,50.0,1.0,0.0,1.0
145,2016-01-07 05:00:00,50.0,1.0,0.0,1.0
146,2016-01-07 06:00:00,49.0,1.0,5.0,1.0
147,2016-01-07 07:00:00,49.0,1.0,3.0,1.0
148,2016-01-07 08:00:00,50.0,1.0,0.0,1.0
149,2016-01-07 09:00:00,50.0,1.0,0.0,1.0
167,2016-01-08 03:00:00,46.0,0.96,0.0,1.0
168,2016-01-08 04:00:00,47.0,0.93,0.0,1.0
169,2016-01-08 05:00:00,47.0,0.97,0.0,1.0
170,2016-01-08 06:00:00,45.0,0.93,0.0,1.0
171,2016-01-08 07:00:00,47.0,0.93,0.0,1.0
172,2016-01-08 08:00:00,48.0,0.96,0.0,1.0
173,2016-01-08 09:00:00,50.0,0.96,0.0,1.0
174,2016-01-08 10:00:00,54.0,0.93,7.0,1.0
187,2016-01-08 23:00:00,57.0,0.64,7.0,1.0
365,2016-01-16 09:00:00,49.0,0.71,0.0,3.0
366,2016-01-16 10:00:00,51.0,0.71,0.0,3.0
431,2016-01-19 03:00:00,43.0,0.97,3.0,1.0
432,2016-01-19 04:00:00,44.0,0.93,0.0,1.0
433,2016-01-19 05:00:00,44.0,0.96,0.0,1.0
434,2016-01-19 06:00:00,45.0,0.93,0.0,1.0
435,2016-01-19 07:00:00,47.0,0.93,3.0,1.0
436,2016-01-19 08:00:00,49.0,0.93,3.0,1.0
476,2016-01-21 00:00:00,52.0,0.89,0.0,1.0
479,2016-01-21 03:00:00,52.0,0.97,0.0,1.0
480,2016-01-21 04:00:00,52.0,1.0,0.0,1.0
481,2016-01-21 05:00:00,53.0,0.96,0.0,1.0
482,2016-01-21 06:00:00,53.0,0.96,3.0,1.0
483,2016-01-21 07:00:00,54.75,0.975,4.0,1.0
609,2016-01-26 13:00:00,50.0,0.52,3.0,3.0
744,2016-02-01 04:00:00,56.0,0.97,0.0,1.0
745,2016-02-01 05:00:00,56.0,0.97,0.0,1.0
746,2016-02-01 06:00:00,56.0,1.0,5.0,1.0
747,2016-02-01 07:00:00,57.0,1.0,3.0,1.0
748,2016-02-01 08:00:00,59.0,0.96,6.0,1.0
749,2016-02-01 09:00:00,62.0,0.86,6.0,1.0
763,2016-02-01 23:00:00,66.0,0.37,10.0,1.0
764,2016-02-02 00:00:00,64.0,0.34,8.0,1.0
860,2016-02-06 00:00:00,51.0,0.64,6.0,3.0
861,2016-02-06 01:00:00,48.0,0.74,7.0,3.0
862,2016-02-06 02:00:00,50.0,0.71,8.0,3.0
891,2016-02-07 07:00:00,32.0,0.92,0.0,1.0
1230,2016-02-21 10:00:00,68.0,0.84,0.0,3.0
1231,2016-02-21 11:00:00,68.0,0.87,3.0,3.0
1232,2016-02-21 12:00:00,68.0,0.87,3.0,3.0
1233,2016-02-21 13:00:00,68.0,0.9,3.0,3.0
1234,2016-02-21 14:00:00,68.5,0.885,5.5,3.0
1268,2016-02-23 00:00:00,60.5,0.885,3.0,3.0
1269,2016-02-23 01:00:00,59.0,0.9500000000000001,4.666666666666667,3.0
1270,2016-02-23 02:00:00,58.2,0.9800000000000001,5.6,3.0
1271,2016-02-23 03:00:00,58.8,0.968,5.8,3.0
1273,2016-02-23 05:00:00,57.0,0.9450000000000001,0.0,3.0
1287,2016-02-23 19:00:00,49.0,0.69,8.0,3.0
1563,2016-03-06 07:00:00,59.0,0.93,6.0,1.0
1583,2016-03-07 03:00:00,64.0,0.9,10.0,3.0
1586,2016-03-07 06:00:00,64.0,0.96,7.0,3.0
1587,2016-03-07 07:00:00,64.5,0.965,10.0,3.0
1597,2016-03-07 17:00:00,72.0,0.73,14.0,3.0
1602,2016-03-07 22:00:00,69.0,0.87,9.0,3.0
1610,2016-03-08 06:00:00,69.0,0.9,10.0,3.0
1612,2016-03-08 08:00:00,68.0,0.93,11.0,3.0
1613,2016-03-08 09:00:00,68.0,0.9500000000000001,8.666666666666666,3.0
1614,2016-03-08 10:00:00,69.0,0.965,11.0,3.0
1627,2016-03-08 23:00:00,71.0,0.87,0.0,3.0
1628,2016-03-09 00:00:00,66.4,0.89,6.4,14.0
1629,2016-03-09 01:00:00,61.0,0.9700000000000001,7.333333333333333,14.0
1630,2016-03-09 02:00:00,60.0,0.9480000000000001,8.8,14.0
1631,2016-03-09 03:00:00,59.0,0.93,10.0,14.0
1633,2016-03-09 05:00:00,60.0,0.93,7.0,14.0
1634,2016-03-09 06:00:00,60.0,0.915,11.5,14.0
1637,2016-03-09 09:00:00,60.5,0.8875,9.75,14.0
1638,2016-03-09 10:00:00,59.0,0.93,8.8,14.0
1639,2016-03-09 11:00:00,59.0,0.9366666666666666,8.5,14.0
1640,2016-03-09 12:00:00,59.0,0.93,8.5,14.0
1642,2016-03-09 14:00:00,60.0,0.9,8.0,14.0
1643,2016-03-09 15:00:00,60.0,0.9,7.0,14.0
1644,2016-03-09 16:00:00,60.0,0.93,3.0,14.0
1647,2016-03-09 19:00:00,60.0,0.93,3.0,14.0
1648,2016-03-09 20:00:00,60.25,0.9325,5.0,14.0
1649,2016-03-09 21:00:00,60.0,0.93,6.666666666666667,14.0
1650,2016-03-09 22:00:00,59.0,0.96,6.0,14.0
1651,2016-03-09 23:00:00,59.0,0.96,5.5,14.0
1652,2016-03-10 00:00:00,59.333333333333336,0.9500000000000001,2.0,3.0
1653,2016-03-10 01:00:00,59.0,0.9450000000000001,7.0,3.0
1654,2016-03-10 02:00:00,59.0,0.9400000000000001,6.666666666666667,3.0
1655,2016-03-10 03:00:00,59.0,0.93,8.0,3.0
1656,2016-03-10 04:00:00,59.0,0.93,8.0,3.0
1657,2016-03-10 05:00:00,59.0,0.93,7.0,3.0
1658,2016-03-10 06:00:00,59.0,0.9325,7.75,3.0
1661,2016-03-10 09:00:00,61.0,0.93,5.5,3.0
1662,2016-03-10 10:00:00,61.5,0.95,11.0,3.0
