,Time,Temp(f),Humidity,Wind Speed,Condition
0,2017-01-01 00:00:00,58.0,0.93,0.0,1.0
1,2017-01-01 01:00:00,58.0,0.93,0.0,1.0
2,2017-01-01 02:00:00,58.0,0.93,6.0,1.0
21,2017-01-01 21:00:00,62.0,0.9,0.0,1.0
25,2017-01-02 01:00:00,63.0,0.9,6.0,14.0
26,2017-01-02 02:00:00,62.0,0.96,5.0,14.0
27,2017-01-02 03:00:00,63.0,0.97,3.0,14.0
28,2017-01-02 04:00:00,59.0,0.9575,11.5,14.0
29,2017-01-02 05:00:00,56.25,0.95,7.5,14.0
30,2017-01-02 06:00:00,55.5,0.985,0.0,14.0
294,2017-01-13 06:00:00,68.0,0.95,6.5,3.0
295,2017-01-13 07:00:00,67.0,0.978,5.2,3.0
296,2017-01-13 08:00:00,66.75,0.985,3.5,3.0
313,2017-01-14 01:00:00,53.0,0.89,7.0,1.0
314,2017-01-14 02:00:00,53.0,0.89,6.0,1.0
315,2017-01-14 03:00:00,52.0,0.93,0.0,1.0
316,2017-01-14 04:00:00,51.666666666666664,0.9400000000000001,1.6666666666666667,1.0
317,2017-01-14 05:00:00,51.0,0.96,4.0,1.0
318,2017-01-14 06:00:00,49.0,0.975,5.25,1.0
320,2017-01-14 08:00:00,48.0,0.95,4.0,1.0
321,2017-01-14 09:00:00,48.0,1.0,3.0,1.0
322,2017-01-14 10:00:00,49.0,1.0,0.0,1.0
323,2017-01-14 11:00:00,50.0,1.0,6.0,1.0
324,2017-01-14 12:00:00,52.0,0.97,3.0,1.0
325,2017-01-14 13:00:00,52.0,0.93,3.0,1.0
326,2017-01-14 14:00:00,52.0,0.93,6.0,1.0
327,2017-01-14 15:00:00,53.0,0.93,5.0,1.0
328,2017-01-14 16:00:00,53.0,0.93,3.0,1.0
329,2017-01-14 17:00:00,52.0,0.97,3.0,1.0
330,2017-01-14 18:00:00,52.0,0.93,6.0,1.0
331,2017-01-14 19:00:00,51.0,0.96,3.0,1.0
332,2017-01-14 20:00:00,50.0,0.96,0.0,1.0
333,2017-01-14 21:00:00,50.0,0.96,3.0,1.0
334,2017-01-14 22:00:00,51.0,0.92,3.0,1.0
335,2017-01-14 23:00:00,51.0,0.92,0.0,1.0
336,2017-01-15 00:00:00,52.0,0.97,0.0,1.0
337,2017-01-15 01:00:00,52.0,0.93,3.0,1.0
338,2017-01-15 02:00:00,53.0,0.93,0.0,1.0
339,2017-01-15 03:00:00,53.0,0.93,0.0,1.0
340,2017-01-15 04:00:00,53.0,0.96,0.0,1.0
341,2017-01-15 05:00:00,53.0,0.96,0.0,1.0
342,2017-01-15 06:00:00,54.0,0.97,3.0,1.0
343,2017-01-15 07:00:00,53.0,1.0,0.0,1.0
344,2017-01-15 08:00:00,53.0,1.0,2.0,1.0
345,2017-01-15 09:00:00,54.0,1.0,0.0,1.0
346,2017-01-15 10:00:00,55.0,1.0,0.0,1.0
347,2017-01-15 11:00:00,56.0,1.0,3.0,1.0
348,2017-01-15 12:00:00,57.5,1.0,4.5,1.0
349,2017-01-15 13:00:00,60.0,1.0,5.0,1.0
350,2017-01-15 14:00:00,65.0,1.0,3.0,1.0
353,2017-01-15 17:00:00,67.25,0.9425,8.0,1.0
357,2017-01-15 21:00:00,68.0,0.87,10.0,1.0
358,2017-01-15 22:00:00,67.0,0.9125,8.25,1.0
359,2017-01-15 23:00:00,65.2,0.9640000000000001,6.8,1.0
360,2017-01-16 00:00:00,62.6,0.9359999999999999,5.4,3.0
361,2017-01-16 01:00:00,63.0,0.93,0.0,3.0
362,2017-01-16 02:00:00,62.0,0.93,5.0,3.0
372,2017-01-16 12:00:00,65.0,0.76,3.0,3.0
381,2017-01-16 21:00:00,60.0,0.84,3.0,3.0
384,2017-01-17 00:00:00,59.0,0.83,3.0,3.0
385,2017-01-17 01:00:00,58.0,0.9,6.0,3.0
391,2017-01-17 07:00:00,54.0,0.75,7.0,3.0
393,2017-01-17 09:00:00,51.0,0.89,7.5,3.0
394,2017-01-17 10:00:00,50.5,0.875,6.0,3.0
397,2017-01-17 13:00:00,48.666666666666664,0.9233333333333333,5.0,3.0
401,2017-01-17 17:00:00,49.0,0.9,6.0,3.0
402,2017-01-17 18:00:00,49.0,0.9566666666666667,5.333333333333333,3.0
403,2017-01-17 19:00:00,49.0,0.97,3.0,3.0
404,2017-01-17 20:00:00,48.857142857142854,0.9742857142857143,5.0,3.0
405,2017-01-17 21:00:00,49.0,0.93,7.0,3.0
406,2017-01-17 22:00:00,48.5,0.9416666666666668,4.833333333333333,3.0
407,2017-01-17 23:00:00,48.0,0.93,3.0,3.0
408,2017-01-18 00:00:00,48.0,0.93,5.5,3.0
409,2017-01-18 01:00:00,48.0,0.935,5.0,3.0
410,2017-01-18 02:00:00,48.0,0.93,6.0,3.0
411,2017-01-18 03:00:00,47.0,0.97,5.0,3.0
413,2017-01-18 05:00:00,48.0,0.93,5.0,3.0
414,2017-01-18 06:00:00,48.0,0.94,5.25,3.0
415,2017-01-18 07:00:00,48.0,0.955,6.0,3.0
416,2017-01-18 08:00:00,48.42857142857143,0.9542857142857143,2.5714285714285716,3.0
417,2017-01-18 09:00:00,49.0,0.97,5.0,3.0
435,2017-01-19 03:00:00,52.0,0.93,0.0,3.0
462,2017-01-20 06:00:00,48.0,0.93,0.0,1.0
463,2017-01-20 07:00:00,49.0,0.93,0.0,1.0
484,2017-01-21 04:00:00,53.0,0.96,0.0,1.0
485,2017-01-21 05:00:00,55.0,0.96,0.0,1.0
486,2017-01-21 06:00:00,58.0,0.97,5.0,1.0
487,2017-01-21 07:00:00,58.0,1.0,0.0,1.0
488,2017-01-21 08:00:00,58.0,1.0,6.0,1.0
649,2017-01-28 01:00:00,45.0,0.66,7.0,3.0
650,2017-01-28 02:00:00,43.0,0.76,5.0,3.0
749,2017-02-01 05:00:00,52.0,0.97,0.0,1.0
750,2017-02-01 06:00:00,51.0,0.92,0.0,1.0
751,2017-02-01 07:00:00,53.0,0.93,0.0,1.0
752,2017-02-01 08:00:00,57.0,0.96,3.0,1.0
824,2017-02-04 08:00:00,47.0,0.86,3.0,1.0
825,2017-02-04 09:00:00,47.0,0.91,3.6666666666666665,1.0
826,2017-02-04 10:00:00,48.0,0.9166666666666666,1.0,1.0
827,2017-02-04 11:00:00,48.333333333333336,0.9233333333333333,1.0,1.0
828,2017-02-04 12:00:00,49.0,0.9,1.0,1.0
829,2017-02-04 13:00:00,50.0,0.89,3.0,1.0
830,2017-02-04 14:00:00,50.0,0.89,0.0,1.0
831,2017-02-04 15:00:00,51.0,0.89,0.0,1.0
832,2017-02-04 16:00:00,50.0,0.93,0.0,1.0
833,2017-02-04 17:00:00,50.0,0.96,0.0,1.0
834,2017-02-04 18:00:00,50.0,0.96,0.0,1.0
835,2017-02-04 19:00:00,50.0,0.96,5.0,1.0
836,2017-02-04 20:00:00,51.0,0.96,0.0,1.0
837,2017-02-04 21:00:00,51.0,0.96,0.0,1.0
838,2017-02-04 22:00:00,51.0,1.0,0.0,1.0
839,2017-02-04 23:00:00,51.0,1.0,0.0,1.0
840,2017-02-05 00:00:00,51.0,1.0,0.0,1.0
841,2017-02-05 01:00:00,51.0,1.0,3.0,1.0
842,2017-02-05 02:00:00,52.0,1.0,0.0,1.0
843,2017-02-05 03:00:00,52.0,1.0,0.0,1.0
844,2017-02-05 04:00:00,53.0,1.0,0.0,1.0
845,2017-02-05 05:00:00,53.0,1.0,0.0,1.0
846,2017-02-05 06:00:00,54.0,1.0,0.0,1.0
847,2017-02-05 07:00:00,54.0,1.0,0.0,1.0
848,2017-02-05 08:00:00,55.0,1.0,0.0,1.0
849,2017-02-05 09:00:00,56.5,0.98,1.5,1.0
850,2017-02-05 10:00:00,60.0,0.9,0.0,1.0
851,2017-02-05 11:00:00,62.0,0.86,0.0,1.0
852,2017-02-05 12:00:00,65.0,0.84,3.0,1.0
873,2017-02-06 09:00:00,68.0,0.93,5.0,3.0
874,2017-02-06 10:00:00,68.0,0.93,5.5,3.0
892,2017-02-07 04:00:00,68.0,0.93,3.0,1.0
893,2017-02-07 05:00:00,67.0,0.93,0.0,1.0
894,2017-02-07 06:00:00,66.0,0.93,0.0,1.0
895,2017-02-07 07:00:00,65.0,0.97,0.0,1.0
984,2017-02-11 00:00:00,67.0,0.91,7.0,1.0
991,2017-02-11 07:00:00,68.0,0.9,6.0,1.0
992,2017-02-11 08:00:00,69.0,0.87,5.0,1.0
993,2017-02-11 09:00:00,72.0,0.79,8.0,1.0
1009,2017-02-12 01:00:00,67.0,0.93,3.0,1.0
1010,2017-02-12 02:00:00,67.0,0.93,5.0,1.0
1058,2017-02-14 02:00:00,51.5,0.885,13.0,3.0
1059,2017-02-14 03:00:00,49.25,0.9125000000000001,12.5,3.0
1060,2017-02-14 04:00:00,50.0,0.9380000000000001,8.2,3.0
1061,2017-02-14 05:00:00,51.2,0.9120000000000001,9.8,3.0
1062,2017-02-14 06:00:00,50.5,0.925,11.0,3.0
