,src,output
249,0.26129702,0.2854
250,0.21550983,0.2544
251,0.21900247,0.2544
252,0.15068465,0.21
253,0.1595849,0.2068
254,0.13003677,0.181
255,0.13272749,0.1761
256,0.1304966,0.1771
257,0.14951426,0.1912
258,0.18124688,0.2145
259,0.2099534,0.2402
260,0.22161062,0.2554
261,0.23248008,0.2695
262,0.24296553,0.2798
263,0.2241583,0.2742
264,0.19798018,0.261
265,0.18937363,0.243
266,0.19889577,0.2301
267,0.19872865,0.2188
268,0.21707357,0.2096
269,0.22439463,0.2035
270,0.25480905,0.2064
271,0.27312705,0.2223
272,0.2593429,0.2385
273,0.24097717,0.2301
274,0.19767292,0.2084
275,0.1991245,0.2084
276,0.13720995,0.1564
277,0.15262109,0.1599
278,0.13274917,0.1313
279,0.13435979,0.1272
280,0.1457759,0.1259
281,0.16049251,0.134
282,0.18731844,0.1519
283,0.20915945,0.1736
284,0.21704623,0.1882
285,0.22700562,0.2006
286,0.24187689,0.2012
287,0.20929177,0.1943
288,0.11651424,0.1259
289,0.10614359,0.1158
290,0.10839614,0.10895
291,0.11488425,0.1103
292,0.14232545,0.12036
293,0.14685573,0.1252
294,0.16265975,0.1378
295,0.20935756,0.1613
296,0.23738255,0.1833
297,0.27410227,0.2109
298,0.30501926,0.2424
299,0.33003247,0.2747
300,0.3538992,0.3074
301,0.39675048,0.332
302,0.40153593,0.3442
303,0.39468515,0.3423
304,0.3697971,0.3193
305,0.3332752,0.3071
306,0.3141234,0.2905
307,0.29778546,0.263
308,0.25409192,0.2258
309,0.24496046,0.2258
310,0.16634543,0.1583
311,0.16188543,0.1619
312,0.116925664,0.11676
313,0.10798979,0.10834
314,0.11576003,0.10406
315,0.11672926,0.10767
316,0.12848152,0.11774
317,0.12898056,0.1321
318,0.14330591,0.148
319,0.18301086,0.184
320,0.21009241,0.2268
321,0.22947809,0.2659
322,0.26959175,0.2993
323,0.2847771,0.328
324,0.2991738,0.35
325,0.33538523,0.369
326,0.3335026,0.3787
327,0.330313,0.3767
328,0.31230545,0.3591
329,0.29642478,0.3508
330,0.308756,0.3384
331,0.2734603,0.3042
332,0.23380919,0.2588
333,0.23486279,0.2588
334,0.1418867,0.1726
335,0.14267188,0.1791
336,0.0809836,0.08496
337,0.05241802,0.0664
338,0.05078785,0.06137
339,0.049301963,0.05975
340,0.06288271,0.06805
341,0.0925953,0.08704
342,0.113447264,0.10736
343,0.12554094,0.1274
344,0.14208584,0.1503
345,0.15112542,0.1597
346,0.1490196,0.1632
347,0.15336008,0.1646
348,0.15872079,0.1573
349,0.16106814,0.1534
350,0.16519822,0.1499
351,0.17433786,0.1495
352,0.18007632,0.1626
353,0.18588461,0.1843
354,0.17634605,0.1895
355,0.17471875,0.1752
356,0.14844345,0.1613
357,0.13369201,0.1372
358,0.12984467,0.1372
359,0.08275802,0.0882
360,0.077054426,0.0903
361,0.06361073,0.05927
362,0.060367238,0.05276
363,0.064634554,0.05197
364,0.074443795,0.05457
365,0.08780589,0.0664
366,0.10474219,0.07776
367,0.117978,0.1015
368,0.13820732,0.12195
369,0.14755945,0.1343
370,0.16094553,0.1415
371,0.16609494,0.147
372,0.1775652,0.1476
373,0.1745283,0.1447
374,0.17938589,0.1456
375,0.18316835,0.1509
376,0.19222163,0.1755
377,0.20388182,0.1908
378,0.19121379,0.1873
379,0.18029118,0.1775
380,0.16346513,0.1589
381,0.12935857,0.1311
382,0.13161272,0.1311
383,0.06697995,0.0703
384,0.1688647,0.0737
385,0.16629106,0.0927
386,0.166939,0.1148
387,0.16887303,0.1313
388,0.15793523,0.1434
389,0.16648348,0.1489
390,0.16224375,0.1554
391,0.16518606,0.1603
392,0.16847932,0.1687
393,0.16790158,0.1749
394,0.16452207,0.1771
395,0.17363694,0.1879
396,0.19970141,0.2106
397,0.18831088,0.2006
398,0.1740245,0.1876
399,0.16067106,0.1716
400,0.13027267,0.148
401,0.13168025,0.148
402,0.07924477,0.08704
403,0.0878465,0.09357
404,0.058268163,0.06122
405,0.050375726,0.051
406,0.06646233,0.0479
407,0.08288348,0.05017
408,0.12802537,0.06088
409,0.13790588,0.07294
410,0.14172354,0.0922
411,0.15469319,0.1145
412,0.15723278,0.1259
413,0.15831915,0.1301
414,0.16128053,0.1327
415,0.16702048,0.1304
416,0.17502357,0.1259
417,0.18623774,0.1255
418,0.19065821,0.1301
419,0.19545187,0.1606
420,0.22303128,0.2048
421,0.21302125,0.2119
422,0.19606315,0.21
423,0.18483071,0.1976
424,0.14383721,0.1687
425,0.14819358,0.1687
426,0.097981244,0.11414
427,0.10525082,0.12
428,0.07496382,0.10736
429,0.07610496,0.1119
430,0.07788874,0.1282
431,0.10368107,0.1736
432,0.24021986,0.259
433,0.25398698,0.267
434,0.2671766,0.2922
435,0.28956783,0.3074
436,0.2821226,0.2993
437,0.26533112,0.2954
438,0.24665801,0.2776
439,0.20683607,0.252
440,0.21732195,0.252
441,0.15720253,0.2031
442,0.15322264,0.2068
443,0.11988177,0.1818
444,0.10583917,0.1788
445,0.11119189,0.18
446,0.111797914,0.1859
447,0.13534999,0.2035
448,0.16008979,0.2203
449,0.1927649,0.2399
450,0.22761951,0.2627
451,0.2420773,0.2708
452,0.23993874,0.273
453,0.23773889,0.2642
454,0.24712376,0.2522
455,0.21705942,0.245
456,0.23652714,0.246
457,0.24310225,0.2554
458,0.2582058,0.2876
459,0.28085813,0.3174
460,0.2812608,0.3198
461,0.26025337,0.314
462,0.23627056,0.2961
463,0.2001663,0.2666
464,0.19704449,0.2666
465,0.13632189,0.2135
466,0.1297629,0.2194
467,0.09621586,0.2051
468,0.08947912,0.2109
469,0.10593002,0.2275
470,0.13424955,0.2732
471,0.17473711,0.3481
472,0.1947672,0.3567
473,0.21576087,0.3208
474,0.22846109,0.2869
475,0.23801602,0.2593
476,0.23999882,0.234
477,0.24457498,0.2113
478,0.25439844,0.1963
479,0.2557005,0.184
480,0.27223387,0.2944
481,0.2816,0.3042
482,0.20829256,0.2272
483,0.19174041,0.2094
484,0.18321766,0.199
485,0.1957991,0.2076
486,0.21134423,0.2344
487,0.23570763,0.2463
488,0.27317333,0.2747
489,0.31621918,0.325
490,0.3614451,0.3833
491,0.40980983,0.4385
492,0.45525324,0.4897
493,0.46028385,0.536
494,0.503781,0.57
495,0.5553331,0.5854
496,0.57551616,0.557
497,0.5775831,0.504
498,0.54361165,0.4663
